Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-13,Other,S94-13 - Eviron Cemetery,121.72,0,,,,,121.72,DA21/0809,2 lot subdivision,2 lot subdivision,2,Approved,2022-07-06,2022,909339,909339,MURWILLUMBAH,Lot 4 Sec 44 DP 10629,32 Myrtle Street MURWILLUMBAH NSW 2484,Council,LEVIED,ResDevt13,121.72,121.72,121.72,12340058,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),965,0,,,,,0,DA14/0798,dual occupancy (detached),dual occupancy (detached),2,Approved,2015-03-09,2015,644424,644424,POTTSVILLE,"Lot 166 DP 1034824
Being Lots 1-2 SP 92916",29 Border Crescent POTTSVILLE NSW 2489,Council,LEVIED,CasOS_26,965,965,965,6924932,
S94-18,Other,S94-18 - Council Admin/Support Facilities,1666.56,0,,,,,0,DA20/0526,staged development comprising of demolition of existing structures and two lot subdivision (stage 1) and construction of two semi-detached dwellings (stage 2),staged development comprising of demolition of existing stru,2,Approved,2021-05-12,2021,860659,860659,KINGSCLIFF,Lot 1 DP 213025,2 Kingscliff Street KINGSCLIFF NSW 2487,Council,LEVIED,Shirewide,1666.56,1666.56,1666.56,11612354,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),3388,0,,,,,0,DA14/0798,dual occupancy (detached),dual occupancy (detached),2,Approved,2015-03-09,2015,644424,644424,POTTSVILLE,"Lot 166 DP 1034824
Being Lots 1-2 SP 92916",29 Border Crescent POTTSVILLE NSW 2489,Council,LEVIED,StrucOS_26,3388,3388,3388,6924931,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-483,0,,,0,DA16/0015,dual occupancy (detached) and 2 lot strata subdivision,dual occupancy (detached) and 2 lot strata subdivision,2,Approved,2016-04-15,2016,687965,687965,MURWILLUMBAH,"Lot 1 DP 1249663
Being Lots 1-2 SP 102045",31 Tweed Street MURWILLUMBAH NSW 2484,Council,PAID,CasualOS_5,483,483,-483,7598634,
S94-05,Open Space,S94-05 - Casual Open Space (Local),573.33,DA17/0162 (as per recalc 17/6/20)JT,,,,,0,DA17/0162,two lot subdivision and demolition of existing masonry shed,two lot subdivision and demolition of existing masonry shed,2,Approved,2017-11-30,2017,736283,736283,BANORA POINT,Lot 26 DP 563765,73 Laura Street BANORA POINT NSW 2486,Council,LEVIED,CasualOS_5,573.33,573.33,573.33,9135363,DA17/0162 (as per recalc 17/6/20)JT
S94-11,Community Facilities,S94-11 - Library Facilities,164,0,,,,,164,DA19/0666,alterations and additions to existing dual occupancy (attached) including carport,alterations and additions to existing dual occupancy (attach,1,Approved,2020-02-05,2020,830834,830834,BOGANGAR,"Lot 1701 DP 1243679
Being Lots 1-2 SP 101726",77 Cabarita Road BOGANGAR NSW 2488,Council,LEVIED,ResDevt11,164,164,164,10857683,
S94-05,Open Space,S94-05 - Casual Open Space (Local),92,0,,,,,0,DA16/0273,alterations and additions to unit 2,alterations and additions to unit 2,1,Approved,2016-06-20,2016,698920,698920,TWEED HEADS WEST,Lot 2 SP 13010,2/1 Red Bass Avenue TWEED HEADS WEST NSW 2485,Council,LEVIED,CasualOS_5,92,92,92,7665650,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1215,0,,,0,DA18/0527,detached dual occupancy,detached dual occupancy,1,Approved,2018-12-12,2018,783447,783447,BANORA POINT,"Lot 160 DP 1057452
Being Lots 1-2 SP 101349",253 Darlington Drive BANORA POINT NSW 2486,Council,PAID,CasOS_26,1215,1215,-1215,9831454,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1311,0,,,0,DA18/0783,demolition of existing dwelling and construction of a detached dual occupancy and strata subdivision,demolition of existing dwelling and construction of a detach,2,Approved,2019-01-16,2019,792014,792014,KINGSCLIFF,Lot 5 Sec 1 DP 28949,14 Kingscliff Street KINGSCLIFF NSW 2487,Council,PAID,CasOS_26,1215,1215,-1311,9857021,
S94-11,Community Facilities,S94-11 - Library Facilities,851,0,,,,,0,DA16/0024,detached dual occupancy,detached dual occupancy,2,Approved,2016-05-17,2016,688235,688235,HASTINGS POINT,"Lot 1 DP 1288801
Being Lots 1-2 SP 105681",75 Tweed Coast Road HASTINGS POINT NSW 2489,Council,LEVIED,ResDevt11,851,851,851,7631279,
S94-22,Roads,S94-22 - Cycleways,233611,"DA16/0056 (Stg 1A),DA16/0056 (Stg 1B),DA16/0056 (Stg 2A),DA16/0056 (Stg 2B),DA16/0056 (Stg 3),DA16/0056 (Stg 4A),DA16/0056 (Stg 4B),DA16/0056 (Stg 5A),DA16/0056 (Stg 5B),DA16/0056 (Stg 6A),DA16/0056 (Stg 6B),DA16/0056 (Stg 7A),DA16/0056 (Stg 7B),DA16/0056 (Stg 8A),DA16/0056 (Stg 8B),DA16/0056 (Stg 9A),DA16/0056 (Stg 9B),DA16/0056 (Stg 10A),DA16/0056 (Stg 10B),DA16/0056 (Stg 10C),DA16/0056 (Stg 11A),DA16/0056 (Stg 11B)",,,,,233611,DA16/0056,"staged development application under Section 83B of the EP&A Act 1979 development of precincts 6, 7, 8, 9, 10, 11 & 12 – Cobaki Lakes, stage 2 – part Precinct 6 and Stage 3 part Precinct 7 comprising 452 residential lots, 8 public open space lots, 1 school lot, residual lots and associated infrastructure (JRPP)",staged development application under Section 83B of the EP&A,473,DefdComnce,2017-12-18,2017,689324,689324,COBAKI LAKES,"Lot 1 DP 562222 Lot 2 DP 566529 Lot 1 DP 570076 Lot 1 DP 570
077 Lots 46 54-55 199-202 205-206 209 228 305 DP 755740 Lot",Piggabeen Road COBAKI LAKES NSW 2486,Council-Deferred,LEVIED,Shirewid22,23361,233611,233611,9151322,"DA16/0056 (Stg 1A),DA16/0056 (Stg 1B),DA16/0056 (Stg 2A),DA16/0056 (Stg 2B),DA16/0056 (Stg 3),DA16/0056 (Stg 4A),DA16/0056 (Stg 4B),DA16/0056 (Stg 5A),DA16/0056 (Stg 5B),DA16/0056 (Stg 6A),DA16/0056 (Stg 6B),DA16/0056 (Stg 7A),DA16/0056 (Stg 7B),DA16/0056 (Stg 8A),DA16/0056 (Stg 8B),DA16/0056 (Stg 9A),DA16/0056 (Stg 9B),DA16/0056 (Stg 10A),DA16/0056 (Stg 10B),DA16/0056 (Stg 10C),DA16/0056 (Stg 11A),DA16/0056 (Stg 11B)"
S94-04,Roads,S94-04 - Road Contribution Sector 09,,,-21716,DA21/0069 (40% Emp Gen Dev) AM,,,0,DA21/0069,additional storage containers and approval for unauthorised storage containers,additional storage containers and approval for unauthorised ,1,Approved,2021-06-24,2021,882355,882355,SOUTH MURWILLUMBAH,Lot 10 DP 1160635,40 Honeyeater Circuit SOUTH MURWILLUMBAH NSW 2484,Council,PAID,Sector9_4,13029.6,13029.6,-21716,11657131,DA21/0069 (40% Emp Gen Dev) AM
S94-05,Open Space,S94-05 - Casual Open Space (Local),112,0,,,,,0,DA20/0621,"conversion of garage into bedroom, walk in robe and laundry (unit 2)","conversion of garage into bedroom, walk in robe and laundry ",1,Approved,2021-02-19,2021,863301,863301,KINGSCLIFF,Lot 2 SP 13023,2/23 Gibson Street KINGSCLIFF NSW 2487,Council,LEVIED,CasualOS_5,112,112,112,11532362,
S94-19,Community Facilities,S94-19 -Casuarina Beach - Comm Fac,100352,0,,,,,100352,DA21/0637,residential flat building comprising of 47 units (NRPP),residential flat building comprising of 47 units (NRPP),47,Approved,2022-06-03,2022,904110,904110,CASUARINA,Lot 59 DP 1264557,5 Grand Parade CASUARINA NSW 2487,Council,LEVIED,CommFac19,100352,100352,100352,12316662,
S94-05,Open Space,S94-05 - Structured Open Space (Local),1157,0,,,,,1157,DA20/0027,"multi dwelling housing comprising four units, swimming pool and tree removal","multi dwelling housing comprising four units, swimming pool ",4,Approved,2021-03-19,2021,841137,841137,TWEED HEADS,Lot 8 Sec 2 DP 3123,5 Kennedy Drive TWEED HEADS NSW 2485,Council,LEVIED,StructOS_5,1157,1157,1157,11560609,
S94-27,Open Space,S94-27 - Tweed Heads Master Plan - LocalOS/Streets,,,-2094,0,,,0,DA15/0102,multi-dwelling housing comprising of three units and a pool,multi-dwelling housing comprising of three units and a pool,5,Approved,2015-06-05,2015,654423,654423,TWEED HEADS,Lot 5 DP 9173,24 Thomson Street TWEED HEADS NSW 2485,Council,PAID,OpenSpac27,2094,2094,-2094,7006442,
S94-28,Other,S94-28 - Seaside City,5548.0999999999985,"DA15/0733 (as per recalc 23/3/18)JT,DA15/0733 (Refunding Planning Agreement) AM",,,,,0,DA15/0733,"two storey dwelling, attached garage and in-ground pool","two storey dwelling, attached garage and in-ground pool",1,Approved,2015-11-23,2015,675196,675196,KINGSCLIFF,Lot 33 DP 1171641,97 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Seaside28,55481,55481,5548.0999999999985,7458097,"DA15/0733 (as per recalc 23/3/18)JT,DA15/0733 (Refunding Planning Agreement) AM"
S94-13,Other,S94-13 - Eviron Cemetery,,,-734,0,,,0,DA16/0766,"demolition of existing dwelling, construction of nine senior housing units, hydrotherapy pool and associated communal facilities","demolition of existing dwelling, construction of nine senior",9,Approved,2017-05-05,2017,720000,720000,TWEED HEADS,Lot 81 DP 237806,7 Powell Street TWEED HEADS NSW 2485,Council,PAID,ResDevt13,734,734,-734,8313176,
S94-12,Roads,S94-12 - Bus Shelters,47,0,,,,,0,DA15/0959,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2016-01-13,2016,682832,682832,TWEED HEADS,Lot 18 SP 79995,18/14-18 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Over10ET,47,47,47,7512351,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-11503,0,,,0,DA20/0708,"multi dwelling housing comprising four (4) dwellings, including one (1) sign","multi dwelling housing comprising four (4) dwellings, includ",1,Approved,2021-06-23,2021,865943,865943,KINGSCLIFF,"Lot 14 DP 1145386
Being Lots 1-4 SP 105416",61 Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,StrucOS_26,11503,11503,-11503,11656091,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1451.72,0,,,0,DA18/0005,detached dual occupancy,detached dual occupancy,1,Approved,2018-06-28,2018,764723,764723,KINGSCLIFF,"Lot 1 DP 1258055
Being Lots 1-2 SP 100835",21 Boomerang Street KINGSCLIFF NSW 2487,Council,PAID,Shirewide,1451.72,1451.72,-1451.72,9345548,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1646.91,0,,,0,DA20/0126,demolition and erection of a dual occupancy (attached) and strata subdivision,demolition and erection of a dual occupancy (attached) and s,2,Approved,2020-06-23,2020,846346,846346,KINGSCLIFF,Lot 9 Sec 7 DP 758571,73 Kingscliff Street KINGSCLIFF NSW 2487,Council,PAID,Shirewide,1646.91,1646.91,-1646.91,10995851,
S94-04,Roads,S94-04 - Road Contribution Sector 01,7068,0,,,,,0,DA17/0545,change of use from residential to office premises and associated signage,change of use from residential to office premises and associ,1,Approved,2017-11-30,2017,751526,751526,TWEED HEADS,Lot 7 Sec 5 DP 4043,31 Beryl Street TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,7068,7068,7068,9137227,
S94-18,Other,S94-18 - Council Admin/Support Facilities,248.17,0,,,,,0,DA15/0959,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2016-01-13,2016,682832,682832,TWEED HEADS,Lot 18 SP 79995,18/14-18 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewide,248.17,248.17,248.17,7512349,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-487,0,,,915,DA14/0887,farm stay accommodation including 1 tourist accommodation house and 3 tourist cabins - three stages,farm stay accommodation including 1 tourist accommodation ho,1,Approved,2015-11-20,2015,647680,647680,CONDONG,"Lot 11 DP 726503
Lot 528 DP 1003396",1006 Clothiers Creek Road CONDONG NSW 2484,Council,PAID,CasualOS_5,915,915,-487,7457891,
S94-13,Other,S94-13 - Eviron Cemetery,,,-95,0,,,0,DA17/0430,detached dual occupancy and 2 lot strata subdivision,detached dual occupancy and 2 lot strata subdivision,2,Approved,2018-02-28,2018,746805,746805,POTTSVILLE,"Lot 11 DP 1035887
Being Lots 1-2 SP 98451",35 Overall Drive POTTSVILLE NSW 2489,Council,PAID,ResDevt13,95,95,-95,9224476,
S94-12,Roads,S94-12 - Bus Shelters,,,-66,0,,,0,DA15/0982,two lot subdivision,two lot subdivision,2,Approved,2016-02-25,2016,683360,683360,CASUARINA,Lot 48 DP 1182599,89 Laceflower Parade CASUARINA NSW 2487,Council,PAID,Over10ET,66,66,-66,7555253,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,1760,0,,,,,0,DA19/0505,dual occupancy (detached) with pool,dual occupancy (detached) with pool,2,Approved,2019-11-29,2019,824845,824845,KINGSCLIFF,"Lot 362 DP 1087716
Being Lots 1-2 SP 101822",36 Avoca Street KINGSCLIFF NSW 2487,Council,LEVIED,Sector7_4,1760,1760,1760,10797359,
S94-18,Other,S94-18 - Council Admin/Support Facilities,1909.57,0,,,,,0,DA16/0695,2 lot subdivision,2 lot subdivision,2,Approved,2017-02-10,2017,717265,717265,MOUNT BURRELL,Lot 12 DP 859811 Lot 2 DP 1133885,4013 Kyogle Road MOUNT BURRELL NSW 2484,Council,LEVIED,Shirewide,1909.57,1909.57,1909.57,8220940,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1093,0,,,,,0,DA17/0469,"part demolition of existing garage, alterations to existing dwelling, erection of new dwelling to create a detached dual occupancy and two lot strata subdivision","part demolition of existing garage, alterations to existing ",2,Approved,2017-12-01,2017,748506,748506,POTTSVILLE,"Lot 116 DP 1265189
Being Lots 1-2 SP 100832",3 Victoria Avenue POTTSVILLE NSW 2489,Council,LEVIED,ComFac15,1093,1093,1093,9137255,
S94-04,Roads,S94-04 - Road Contribution Sector 06,12321,DA18/0470 (as per recalc 13/5/20) AM,,,,,0,DA18/0470,"demolition of existing building on site, excavation to establish garage and vehicle manoeuvring area and erection of multi-dwelling housing comprising four townhouses","demolition of existing building on site, excavation to estab",1,Approved,2018-10-30,2018,781501,781501,KINGSCLIFF,Lot 16 Sec 9 DP 758571,119 Kingscliff Street KINGSCLIFF NSW 2487,Council,LEVIED,Sector6_4,12321,12321,12321,9789226,DA18/0470 (as per recalc 13/5/20) AM
S94-12,Roads,S94-12 - Bus Shelters,,,-69.16,0,,,0,DA15/0882,two lot subdivision,two lot subdivision,1,Approved,2016-04-08,2016,680278,680278,CHINDERAH,Lot 103 DP 1210713,23 Chinderah Road CHINDERAH NSW 2487,Council,PAID,Over10ET,69.16,69.16,-69.16,7592289,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),33779,DA15/0739 (as per recalc 28/9/17) AM,,,,,0,DA15/0739,12 townhouses,12 townhouses,12,Approved,2016-03-29,2016,675411,675411,KINGSCLIFF,Lot 360 DP 1162588,29 Sailfish Way KINGSCLIFF NSW 2487,Council,LEVIED,StrucOS_26,33779,33779,33779,7584916,DA15/0739 (as per recalc 28/9/17) AM
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,494526.92000000004,"DA15/0097 (Stg2),DA15/0097 (Stg4),DA15/0097 (Stg 4 as per S96 11/4/18)JT,DA15/0097 (See new fee)JT,DA15/0097 (Stg 4 as per recalc 5/9/19)JT",,,,,0,DA15/0097,"staged development including subdivision (lot consolidation, stratum, strata, community title), mixed use development (23 dual use residential/tourist units, 8 commercial tenancies, outdoor dining) and small lot housing (7 dwelling houses) with associated car parking, landscaping, civil and streetscape works","staged development including subdivision (lot consolidation,",23,Approved,2015-10-23,2015,654289,654289,KINGSCLIFF,Lot 50 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Sector7_4,227612.72,227612.72,494526.92000000004,7430759,"DA15/0097 (Stg2),DA15/0097 (Stg4),DA15/0097 (Stg 4 as per S96 11/4/18)JT,DA15/0097 (See new fee)JT,DA15/0097 (Stg 4 as per recalc 5/9/19)JT"
S94-11,Community Facilities,S94-11 - Library Facilities,695.2,DA15/0443 (as per recalc 6/6/2018) AM,,,,,0,DA15/0443,2 lot subdivision,2 lot subdivision,2,Approved,2015-11-12,2015,666596,666596,BILAMBIL,"Lot 2 DP 528642 Lot 1 DP 1167543

Rates 01/07/2019 to 09/0
7/2019",33-41 Hogans Road BILAMBIL NSW 2486,Council,LEVIED,ResDevt11,695.2,695.2,695.2,7451314,DA15/0443 (as per recalc 6/6/2018) AM
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1425,0,,,,,0,DA16/0375,dual occupancy (detached) and strata subdivision,dual occupancy (detached) and strata subdivision,2,Approved,2016-08-11,2016,703062,703062,POTTSVILLE,"Lot 1721 DP 1215252
Being Lots 1-2 SP 95103",4 Woolgoolga Court POTTSVILLE NSW 2489,Council,LEVIED,ComFac15,1425,1425,1425,8012922,
S94-12,Roads,S94-12 - Bus Shelters,66,0,,,,,0,DA19/0505,dual occupancy (detached) with pool,dual occupancy (detached) with pool,2,Approved,2019-11-29,2019,824845,824845,KINGSCLIFF,"Lot 362 DP 1087716
Being Lots 1-2 SP 101822",36 Avoca Street KINGSCLIFF NSW 2487,Council,LEVIED,Over10ET,66,66,66,10797362,
S94-12,Roads,S94-12 - Bus Shelters,,,-71,0,,,0,DA18/0527,detached dual occupancy,detached dual occupancy,1,Approved,2018-12-12,2018,783447,783447,BANORA POINT,"Lot 160 DP 1057452
Being Lots 1-2 SP 101349",253 Darlington Drive BANORA POINT NSW 2486,Council,PAID,Over10ET,71,71,-71,9831458,
S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-1820,0,,,0,DA17/0054,"demolition of shed, construction of second dwelling to create an attached dual occupancy, carport, use of existing garage for a bedroom and  strata subdivision","demolition of shed, construction of second dwelling to creat",1,Approved,2017-05-11,2017,731426,731426,TWEED HEADS SOUTH,Lot 8 DP 258723,82 Blundell Boulevard TWEED HEADS SOUTH NSW 2486,Council,PAID,Sector2_4,1820,1820,-1820,8320037,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1103,0,,,0,DA15/0156,two lot subdivision,two lot subdivision,2,Approved,2015-05-05,2015,656473,656473,POTTSVILLE,Lot 438 DP 1175174,6 Toshack Place POTTSVILLE NSW 2489,Council,PAID,CasOS_26,1103,1103,-1103,6973996,
S94-18,Other,S94-18 - Council Admin/Support Facilities,5255.3,0,,,,,0,DA20/0691,new generation boarding house comprising eight (8) self-contained rooms including demolition and earthworks,new generation boarding house comprising eight (8) self-cont,1,Approved,2021-11-09,2021,865460,865460,TWEED HEADS SOUTH,Lot 6 DP 239236,30 Altair Street TWEED HEADS SOUTH NSW 2486,Council,LEVIED,Shirewide,5255.3,5255.3,5255.3,12118165,
S94-11,Community Facilities,S94-11 - Library Facilities,713,0,,,,,0,DA21/0009,construction of a new dwelling and relocation of existing dwelling to create an attached dual occupancy,construction of a new dwelling and relocation of existing dw,1,Approved,2021-09-10,2021,877618,877618,DURANBAH,Lot 10 DP 542254,57 Loders Road DURANBAH NSW 2487,Council,LEVIED,ResDevt11,713,713,713,12053384,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-5524,0,,,0,DA15/0726,demolition of existing structures and the construction of a residential flat building comprising 13 units,demolition of existing structures and the construction of a ,13,Approved,2016-07-07,2016,675091,675091,TWEED HEADS,"Lot 24 DP 1285565
Being Lots 1-13 SP 105041",Ayana 24 McGregor Crescent TWEED HEADS NSW 2485,Council,PAID,CasualOS_5,5524,5524,-5524,7683032,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),2771.6,0,,,,,2771.6,DA19/0064,boundary adjustment,boundary adjustment,2,Approved,2019-07-25,2019,803404,803404,KUNGHUR,"Lot 3 DP 262745
Lot 3 DP 1232242",33 Cooloon Street KUNGHUR NSW 2484,Council,LEVIED,StrucOS_26,2771.6,2771.6,2771.6,10656143,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-1396,0,,,0,DA17/0023,minor alterations/additions to existing backpackers' accommodation,minor alterations/additions to existing backpackers' accommo,1,Approved,2017-05-03,2017,729146,729146,BOGANGAR,Lot 1 DP 807414,77 Tweed Coast Road BOGANGAR NSW 2488,Council,PAID,ResDevt11,1396,1396,-1396,8308532,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-4504.22,0,,,0,DA18/0485,a staged development consisting of three dwellings over three stages (one dwelling per stage),a staged development consisting of three dwellings over thre,1,Approved,2019-09-09,2019,782019,782019,MURWILLUMBAH,"Lot 3 DP 1280178
Being Lots 1-3 SP 104552",141 Byangum Road MURWILLUMBAH NSW 2484,Council,PAID,Shirewide,2252.11,2252.11,-4504.22,10703265,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-164,0,,,0,DA19/0107,"alterations and additions to Unit 1 and in-ground pool, attached pergola and fencing","alterations and additions to Unit 1 and in-ground pool, atta",1,Approved,2019-09-13,2019,805476,805476,BOGANGAR,Lot 1 SP 39877,1/40 Hastings Road BOGANGAR NSW 2488,Council,PAID,ResDevt11,164,164,-164,10710778,
S94-04,Roads,S94-04 - Road Contribution Sector 06,95243,0,,,,,38097.2,DA21/0148,"twenty-four (24) warehouses, three (3) self-storage units and twenty-seven (27) lot strata subdivision","twenty-four (24) warehouses, three (3) self-storage units an",27,Approved,2021-12-01,2021,885897,885897,CHINDERAH,"Lot 4 DP 849369
Being Lots 1-27 SP 105094",18 Ozone Street CHINDERAH NSW 2487,Council,LEVIED,Sector6_4,95243,95243,95243,12141049,
S94-13,Other,S94-13 - Eviron Cemetery,,,-236,0,,,0,DA16/0835,demolition of existing building and erection of 3 attached dwellings,demolition of existing building and erection of 3 attached d,3,Approved,2017-04-21,2017,723231,723231,KINGSCLIFF,"Lot 66 DP 1262761
Being Lots 1-3 SP 101273",66 Pearl Street KINGSCLIFF NSW 2487,Council,PAID,ResDevt13,219,219,-236,8298606,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-2126,0,,,0,DA16/0835,demolition of existing building and erection of 3 attached dwellings,demolition of existing building and erection of 3 attached d,3,Approved,2017-04-21,2017,723231,723231,KINGSCLIFF,"Lot 66 DP 1262761
Being Lots 1-3 SP 101273",66 Pearl Street KINGSCLIFF NSW 2487,Council,PAID,CasOS_26,1958,1958,-2126,8298610,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-2252.11,0,,,0,DA20/0371,"dual occupancy (attached), swimming pools and 2 lot strata subdivision","dual occupancy (attached), swimming pools and 2 lot strata s",2,Approved,2020-12-09,2020,856032,856032,KINGSCLIFF,"Lot 10 DP 1262504
Being Lots 1-2 SP 105954",80 Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,Shirewide,2252.11,2252.11,-2252.11,11454872,
S94-18,Other,S94-18 - Council Admin/Support Facilities,1432.18,0,,,,,0,DA16/0755,dual occupancy with swimming pools,dual occupancy with swimming pools,2,Approved,2017-03-08,2017,719674,719674,POTTSVILLE,"Lot 5 DP 1239225
Being Lots 1-2 SP 96938",24 Elanora Avenue POTTSVILLE NSW 2489,Council,LEVIED,Shirewide,1432.18,1432.18,1432.18,8257081,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-85.35,0,,,0,DA20/0300,change of use of existing shed to agricultural produce industry (distillery),change of use of existing shed to agricultural produce indus,1,Approved,2020-09-15,2020,853418,853418,CUDGERA CREEK,Lot 1 DP 733628,715 Cudgera Creek Road CUDGERA CREEK NSW 2484,Council,PAID,Shirewide,85.35,85.35,-85.35,11377477,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),2946,0,,,,,0,DA16/0755,dual occupancy with swimming pools,dual occupancy with swimming pools,2,Approved,2017-03-08,2017,719674,719674,POTTSVILLE,"Lot 5 DP 1239225
Being Lots 1-2 SP 96938",24 Elanora Avenue POTTSVILLE NSW 2489,Council,LEVIED,StrucOS_26,2946,2946,2946,8257084,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1404,0,,,,,0,DA14/0480,two lot subdivision and two dwellings,two lot subdivision and two dwellings,2,Approved,2015-02-10,2015,633662,633662,KINGSCLIFF,Lot 24 DP 1162599,316 Casuarina Way KINGSCLIFF NSW 2487,Council,LEVIED,ComFac15,1404,1404,1404,6901309,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1461.6,0,,,2923.2,DA15/0352,four lot subdivision,four lot subdivision,5,Approved,2015-11-17,2015,663891,663891,KIELVALE,Lot 15 DP 208843,38A Reserve Creek Road KIELVALE NSW 2484,Council,PAID,ComFac15,4384.8,4384.8,-1461.6,7454972,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),33962,0,,,,,33962,DA16/0486,demolition of existing structures and construction of residential flat building,demolition of existing structures and construction of reside,2,Approved,2017-02-20,2017,707969,707969,TWEED HEADS,Lot 9 DP 21234,7 Florence Street TWEED HEADS NSW 2485,Council,LEVIED,ComFac15,33962,33962,33962,8227856,
S94-12,Roads,S94-12 - Bus Shelters,429,0,,,,,429,DA18/0053,"mixed use development (restaurant, offices and dual use residential and tourist accommodation units) including works within Tweed Coast Road reserve, tree removal and extension to a right of carriageway over Lot 6 DP 872039","mixed use development (restaurant, offices and dual use resi",1,Approved,2020-11-10,2020,766693,766693,BOGANGAR,Lot 17 Sec 6 DP 30043,53 Tweed Coast Road BOGANGAR NSW 2488,Council,LEVIED,Over10ET,429,429,429,11417002,
S94-12,Roads,S94-12 - Bus Shelters,1284,"DA17/0381 (Stg 1),DA17/0381 (Stg 2),DA17/0381 (Stg 3),DA17/0381 (Stg 1 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 22/5/19)JT,DA17/0381 (Stg 3 as per recalc 22/5/19)JT,DA17/0381 (Stg2 as per recalc 18/10/19) AM,DA17/0381 (Stg3 as per recalc 18/10/19) AM",,,,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,Approved,2017-11-06,2017,745613,745613,KINGSCLIFF,Lot 54 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Over10ET,1169,1169,1284,9108095,"DA17/0381 (Stg 1),DA17/0381 (Stg 2),DA17/0381 (Stg 3),DA17/0381 (Stg 1 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 22/5/19)JT,DA17/0381 (Stg 3 as per recalc 22/5/19)JT,DA17/0381 (Stg2 as per recalc 18/10/19) AM,DA17/0381 (Stg3 as per recalc 18/10/19) AM"
S94-11,Community Facilities,S94-11 - Library Facilities,,,-855.95,0,,,0,DA22/0045,two lot subdivision,two lot subdivision,2,Approved,2022-06-07,2022,921397,921397,BANORA POINT,Lot 2 DP 521256,10 Seaview Road BANORA POINT NSW 2486,Council,PAID,ResDevt11,855.95,855.95,-855.95,12321650,
S94-12,Roads,S94-12 - Bus Shelters,,,-76,0,,,0,DA21/0491,"construction of a two storey dual occupancy each with roof top terrace, double garage, pool and strata subdivision",construction of a two storey dual occupancy each with roof t,1,Approved,2022-05-13,2022,899714,899714,BANORA POINT,Lot 732 DP 48275,6 Oyster Point Road BANORA POINT NSW 2486,Council,PAID,Over10ET,76,76,-76,12295186,
